Zieliet, Lord of the Skies
Dapiot, The Nocturnal
Frassie, The Insane
Gynies, The Jealous One
Friamrayd, Lord of the Black
Temrut, Lord of the Skies
Nomras, Longtail
Qailliarssios, The White
Jadraim, The Strong
Taindrorrryn, Eater of Bunnies
Dinaentdios, The Tiran
Qumriarrrun, The Powerful One
Ceoldram, The Taker of Life
Tukerdayg, Lord of the Brown
Raendrinntud, Champion of the Brown
iekeicrlayth, Destroyer of Life
Cheorriedreoth, The White One
Friervoantrois, The Dead
Xaydaelth, Protector of Life
Nienoacrnteilth, The Stubborn
Taekiar, The Evil One
Ceviedcriom, Lord of the Red
Qulbioss, Eternal Fire
Mommaiss, The Scary
Roikaid, The Calm
Qundrayl, The Clever
Leghayr, The Protective
aizzioss, The Skinny One
Deommus, Gentle Mind
Naivreidsdass, The Dark One
